,text
1492,Дааа 🤪🤩 помню по дымстории 💨💨 проходили времена 🤓👆 Петра Намба Ван Дымного👑 😤🤙 и там был рассказ📝 про Царь-Кальян 😊Во времена то😏 были 💥🔥🔥...Тогда наверное🤔🙀 забивали калик плотненько 🤙 в касание🧨🤤 на двойном арбузе🤐😲😧😨 Потом такой кумардос💨 накрывал 😝🤤 от царь-кальяна💪 что весь Санкт-Пыхтербург🏢🏤🏘 до сих пор в кумаре🌋😤😈💨💭💨
1493,еб вашу мать как же я ору
1494,"такой аппарат🎷нужно забивать😳только двойными✌ православными🤠 яблочками🍎🍏
очевидно что такая паровая 💨💨установка дым-3000 не подходит 🔞🔞🆘⛔для новичков👶 и необходима только дымастерам 😎кумарного дела☝☝"
1495,"Спасибо , богу за этот паблик"
1496,"-пацаны где бомбу заложили??
-да бомба на Б брат давай уже дефузь🙏😸
-да я и так на Б) не вижу нифига😨😖
-так ясен красен🤣 ты в монитор персонального компьютера кальянчик то не кури) авось и увидишь что-то😁
-да это я дымовую гранату кинул😂👍🏼

Братва отжигает в режиме «по полной программе»😆 Все пацаны хватит в войнушки играть айда мундштук мира кумарить😈"
1497,"Во дают 👍🏻террорюги 😂😂
А времена-то меняются 🥺
Раньше помните 🥺 как говорили: «айда в компьюктерный 💻💻 клуб 😎, в гташку играть, там можно краль цеплять да убивать 😈😈😈😈😈»
А сейчас что? Сейчас ребят дымом 💨 💨 не корми — повзрослели 💪🏻💪🏻 покрепчали 🇷🇺👍🏻 а игрушки до сих пор канают)) 😏 😏 А калюмбасик так - впридачу) 🥊
Самая настоящая дыматеринская 💕плата 😂"
1498,Вот это пацаны 💩👹👺🤡☠️👽 залетели в клубешник чисто 💧💧 с дымовой гранатой 🎱🎱 кумарного происхождения 😈😈🍎🍏 наверное решили вспомнить великого конструктора аэродинамичных кальянчиков 💨💨 и гранат Михаила Тимофеича Кальяшникова 😂😂 он еще создал мундштук 47 для лучшей продувки 😋😋светлая память и уважение светлому Кальянщику 😢😢 мы всегда будем курямбякать 😤😤 только твои разработки
1499,"Ну пачаны дают! 💪
Отчебучли так отчебучили!🔥😹
Всем же давно известно, что чем в войнушку играть, как последний пидор, 💄👄💋, лучше покуралекать сочный дымный🧖🏻‍♂️🧖🏻💨💨💨🌬🌬 лимонный 🍋пирог🧁🧁🧁, как нормальный 🏳️‍🌈🏳️‍🌈🏳️‍🌈ровный парниша🕺🏻🕺🏻
Короче, еще же Лермонтов👨🏻‍💼 говорил в своем «Кальяндино»: 
«Забил  аль-факер в чашку туго, и думал,удивлю я друга, постой-ка брат мусью»
Иными словами, как говаривал классик «Братва, не стреляйте друг в друга», лучше подымите🌬🌬🌬 сочного калямбурио🎁🎁🎁 с манго🥭, двойным яблочком🍎🍏 или лимонным пирогом 🍋🧇.
Make smoke, not war 👳🏾‍♂️🧑🏻‍🔬👨🏻‍🔬👨🏻‍🦰✌🏻

Всем дымной 💨🧖🏻‍♂️🧖🏻 и вкусной 🍎🍋пятницы, хороших выходных, покладистых краль💃🏽👯‍♀️💁🏼‍♀️ и мощного накура🧟‍♀️🦸🏻‍♂️🌬🥖!"
1500,"Волшебный уровень постиронии. Очень двоякое чувство вызывают как ваши посты, так и комментарии.  Спасибо"
1501,туман войны
1502,"Кальян-мегамозг🤯
Тоже офигели от такой башки😨? Специалисты считают, что этот кальянчик эпохи каменного века) Аж потресканный от старости😅 Так мог выглядеть наш предок неодымталец☝🏼🙀

Умные были наверное раз такая головища🤣 Ну че зыришь, быкуешь что ли?) Расслабься, ща кумарить тебя буду🤙🏼😈"
1503,Кумаропитек*
1504,"Да это же 💀хрустально-кумародымчатый череп💀 - наследие исчезнувшей цивилизации ацтеков!💂🌚 Эти ребята знали толк в плотных забивочках 😎✌💨 Один раз так забили, что их больше никто и не видел 😂 
Да, сам Индиана Джонс всю жизнь искал секрет древнего кумара 😤
А секрет прост - двойное 🍎🍏 😂
Всем сочного и дымного, не теряйте головы 😜🤣"
1505,Дымос Сапиенс
1506,🤪🤪🤪Семьсот пятьдесят пятый манул решил покуребянить дымного колямбасика🤙💨💨💨Молодой манул не отстаёт от трендов и знает как хорошо иногда хапнуть крепкого забивного😉😏Пожелаем удачи и хорошего покура Дымманулу с его кальянчиком😈😈😈
1507,"Ну расселся, ну король, ниче не скажешь😎
Хоть сериал снимай - «Игра кальянов»😁👍🏼 Главная интрига сезона: кто займёт Кумарный Трон🤣🤴🏼Будем ждать, когда по ТНТ покажут этот новый хит💯

Нормально так парниша угарнул🤙🏼 Кто понял - ставь лайк)"
1508,"Дымнерис из дома Кумариенов, именуемый первым, Негорчимый, Король Двойного яблока, Король кралей, забивных и Первых Кальянщиков, Разбивающий гейперов и Отец  Кумаров"
1509,Тирион кальянистер😃👍едрить мадрид🇪🇸🇪🇸🍆 а сзади должна стоять дейнерис кумаророжденная🤙🤙🦖
1510,"Ай да король👑👑, ай да царь👑👑👑, с таким и двойное яблочко 🍏🍎 и капкейк покурить в сладость🍪🍩🍰
Помню, как с ним на охоту на  дикий кальян ходили 💂💂 так мы его поймали голыми руками, как раскурили - раздымили 💨💨💨
Так и началась легенда великого царя Дымочевского Кальяна Кумаровича 🤘👑🤘"
1511,Кальян из валирийской стали
1512,"-братишка, твой ход)
-да стой ты, я забыл как конь ходит: буквой Д или буквой Е) Гуглю теперь в сети «Интернет»😅😊
-он так-то буквой Г ходит) 
-слушай, да пошёл этот конь в Ж🤣 давай лучше кальянчик покурим)🤙🏼💨
-внатуре😸

Братва, расслабляйтесь с кайфом😈"
1513,"Ха, ну шахматисты 🎱🎱 молодцы, сразу видно чемпионами🏆🏆 будут. Сейчас как выпадет каре🎯 или офсайд🤽‍♂️ и все ГГ ВП. Курямбулькают💭💭💭 конечно на 3 угольках🌚🌚🌚, сразу видно👀👀 - новички 👶👶.
Славяне👳‍♀️, забивайте дабл яблочко 🍊🍈 в свое спортивное снаряжение и кумарьте 💬 перед соревнованиями🏌‍♀️."
1514,"Ну теперь мы докажем на основе м*ат анализа 📈📈 что конь 🐎🐎 в игре шахм*аты г*ей 💩💩 он ходит на букву г 👣👣  а что у нас начинается на г? правильно ✅✔️ гейпер ☠️☠️ подытожив все выше 🆙🆙 сказанное хочу сказать что теперь я официально не люблю 💔💔 шахм*аты 🥺🥺😩😩
 в честь такого трагичного 😖😖 дня я даже не покурямбякаю 💨❌💨❌ двойное яблочко 🍎🍏 придется тройную седативную забивочку 🆒🆒 с волосом динозавра 🦕🦕"
1515,"Мой бармолей курямбетч😻😻показал👀мне 👉👉этот хохоtouch, я аж, сучара, захрюкала со смеху 🐷🐽🤣, да так, что казюлевины полетели на фанельчик😱. Он это приметил👹👹 и залупонил 🤛🏼🤛🏼мне по кумекалке😭😭. Ну я то краля 💃💃💃 дымная, подняла свою чюпачессу с диванчика и метнулась🏃🏼‍♀️🏃🏼‍♀️ за его любимой 😻😻 дубль епл зобивочкой 🍎🍏, на 4️⃣ уголёчька. Фаршанула дохой овером на 13😈😈(любим костры покупидонить😼💨) он 🤙🤙 затянулся и помутнел 🥴💀💀, кровь от хед(head)отхлынула, ну а физику 👨‍🔬 🔬 то все учили🤓, сверху отхлынуло - в баклажанчик 👉 👉🍆  прихлынуло⬆️. Ну а дальше - сами знаете, стори(story)умалчивает 🙈😈🙊. Так что☝️всем дымным рабыням 🙇‍♀️🙇‍♀️ на заметку: крепче забивончик - плотнее🤩корнишончик 🥒. А всем колямBOSSам 💣 😎сладкой курамбечеллы.. 🤙💪💨 сос мыслом.."
1516,Что тут происходит? Почему мне это вылезло в рекомендациях? Что за комментарии напичканные смайликами? Wtf?!
1517,"Колясики-корамбасики, 🤪 пацаны не в курсе😁😆что конь ходит🐎буквой К 🤙💨
Это же знает ‼ каждый🤓📖 дыммейстер 👔👑😤"
1518,"-милый а ты когда плитку доделаешь?)
-дорогая ну что ты начинаешь опять а😫🤦🏻‍♂️
-просто скоро мама моя приезжает на 56 недель в гости😨👵🏽, как-то неудобно что у нас только пол стены в плитке😊🙈
-дорогая а давай ты со своей мамой поживешь в другом месте) мне и кальянчика для счастливой жизни хватит💨🤙🏼

Гром гремит земля трясётся - это тёща едет в гости🤣👍🏼 Мужик не пасанул - все по факту сказал😈"
1519,"Вот это по-нашему) 👍 этим же и славятся ✨✨парни на дымных движениях 👱💨 ведь зачем лицемерие🤐, лучше калика с щербетиком бахнуть😋😋, попивая чаечек 🍮🍯🍲что и  нужно простому русскому факиру) 😎
Как говорят адепты кальянопокурианства 🙏
за hookah, калик и святого дыма - покур! ☝
Так оно и должно быть, епт*а🤪😁"
1520,Еееептель-моооптель😄😁а я тут прикинул🤓 а вдруг тёща👵тоже любительница 😤💨приезжает такая 🚌 к молодоженам 💑👰👦 и сразу забивает 😏😼двойное🍎🍏 в касание + доха🚀🤤вот это ровная👌🤙семейка🤣😆
1521,"Я умираю от ваших постов и комментов, пацаны 😉😁😁😂👍🏾👍🏾
Всем дымного👋🏾💨👌🏾"
1522,Мужик 👨🏻 красавчик конечно😎😁 не прогнулся💪🏿👍🏾 живёт как вздумается и кайфует от жизни😤🤤🤤😏 плотно покуривает💨💨💨🌪🌪и рассуждает кальянами мозгами 🧠 как надо👍🏾👍🏾👍🏾всем кайфового кумарчика🤙🏾🤙🏾😜💨
1523,Гений🧐 пыхтонской калянософии🤥. Всем яблочного Кумара браза.🍏🍎
1524,"Опа какая молодчина краля)
Уж она точно знает: чтоб покурчик💨😈 прошёл на ура нужно хорошенько размяться😊💁🏻‍♀️
Тогда дымные молекулы смогут дойти даже до кончиков пальцев👍🏼😱

Гимназистка ой бл*я, то есть гимнастка🤣 Попутал чето😅🙈"
1525,Окончила гимназию с пыхтематическим уклоном😈
1526,Ой ой ой как встала 😱😱😱 зовите врача 👨🏾‍⚕️👩🏿‍⚕️краля сейчас себе кальянную чашечку 🥃🥃 сломает 🔨🔨 в позе пыхтуса 🧘🏾‍♀️🧘🏼‍♀️и не сможет ходить 👣 👣 да что уж ходить - пыхтеть с кайфом не сможет 😤😤😩😩😭😭 и придётся ее класть в дымльницу 💒💒 где она будет весь день с дедушками 👴👴 в шашки 🎱🎱 играть 😖😖
1527,Еееевпатий Коловратий!!1🌞. Да это же черный лебедь из балета «Калюмбасное озеро!!»🦢🕊. Готовится как следует😋🤙🏻 попыхтеть на сцене Большого Забивного Театра💨💨
1528,Хера се как рогатку выставила🔞🔞 Ну смотри 😳😁чтобы дым💨💨 не пошел из того места😅 с двойной рыбой🦈🦈 А то придется как в Китае ёпт😅 тряпкой крыться😷😷 от вагиновируса 😰
1529,Ух прям🤙🤙 ну такой кральчатине и клапан продуть😯 не грех💪 сразу видно часто😈😈 ходила на дымическую💭 культуру в школе🍎🍏
1530,"-Че Макс, тренишь?)
-Да, потихонечку😁 Качаю бицуху)
-А нафиг ты кальян то куришь😨
-Так я туда забил протеинчика и нормулек👍🏼 Это методика Эрни Кумарского - мирового рекордсмена по дымовой тяге💪🏼😎
-Гонишь😱
-Не гоню😤 Он на спокухе оформлял пять забивок на три подхода так-то🤙🏼😈

Абалдеть😲 А че, неплохой варик массу набрать) Тёлочки, в очередь🤣😸"
1531,"Но русская техника Ивана Дымоглота💪💪💪 дает тройной результат, прям как тройная забивочка 🍎🍎🍎 доказано мировой ассоциацией дыма💨💨💭"
1532,"Не ну давно известный 🤓📈факт. Что при жиме✊💪или подъёме гантелей 🥌на бицепс🏋️нужно делать по тяжке дымного 💨 💨 на каждое повторение☝️😤
Бицуха прокачется 🔥😎а забивочка в касание 🚀🤙💨😤прокачает легкие 🔥🏋🏼лучше любого кардио😏😈🏃"
1533,"Даааа, 👍👍👍, спортс-кумар-мены⚽️🏑🏋🏿‍♀️, такие ошибки ✝️🚫❌ делать непростительно ❗️🔰❗️, все
Же знают 🤫🤐🤯, что это комплекс тренипыхторовок 🤸‍♂️🤸🏻🤸🏻‍♀️великого Кумарисимосити Пыхчко🧐🧐🥶🥵, ученика 👩‍🎓🧲👩‍🎓 и любимого сына Эльпыхто Кумарлетти, который изобрёл 10 законов верного пыхтослава🤯💨💨(не путать с 4 заветами пыхтона!!!), так вот, эта серия тренировок предусматривает 🤫 плотных портеиново-дабл-эпл-забив🥚🍎🍏🍵, и через 77 дней все будет на высших пыхтерианских 🤪🤪формах. Всем добра 🌶😇🙂и сладкого яблочного дыма💨🍎🍏, пацы😊😊😂"
1534,ЭРНИ КУМАРСКИЙ АХХАХХАХАХА
1535,"В рекомендациях попались,не знаю что за контент такой странный в паблике, но я подписался, потому что у меня тоже есть калик)"
1536,"Давай дорогая души дымком этого мохнатого ушлепка🤣💨 Так ему и надо, теперь не будет сс*ать в мои тапочки🤬😈 

Эй эй палехче слышь) Кота в покое оставьте, екалэмэнэ😁🐱 В древние времена они защищали от грызунов мешки с забивочкой☝🏼 Проявите уважение)"
1537,Вы только посмотрите на этого сфинкса🐈🐈🐈ну прямо дымный ацтек👘👘👘из племени пыхтунов🤙💭💭💭кошак реально хотел сладко покумарить темной стороны💂💂💂краля забей ему двойное 🍎🍏да с медком чтоб послаще🌼🌼🌼сразу видно кто тут угольный вождь 🐺🐺🐺а кто дымная рабыня👱‍♀️👱‍♀️👱‍♀️💃
1538,Ээээ🤨🤨🤨 Почему котэ ещё без забивочки сидит??😧😧😧 Забейте двойной вискас🐸 пацику😏😏😏 Ведь братьям нашим кумарным помогать нужно ☝️☝️☝️у него же лапки!!!😂😂😂
1539,Так вот в чем секрет энергии Кота Бориса 🙀😼😸
1540,"Бля ну и уебищный паблик, забаньте меня пожалуйста чтоб эта хуиня никогда у меня в предложке не была"
1541,"🙏👳‍♂️🙏👣С ДВУХ РУК СООБЩАЮ ТЕБЕ КАК ЗАВЕЩАЛ БУДДА📿
  Н👻А🧤М🌋А🦒С🌍Т🚀Э👾👽👾👽👽👾👽👾"
1542,"-Братишка ну ты выйдешь сегодня?? Кальян уже охота покупидонить😫
-Да жена не пускает пацаны, никак не выйду😰😢
-Да пофиг, тогда скинь просто калик то)
-Ахах) Приколист ты сра*ный😡 Больше ниче не скинуть😤?
-Ну хотя бы из рук то можно жмотяра🤬?
-Лааадно, только из рук😊

Мужики то выросли, а все такие же пацаны🤙🏼 Угарают знатно🤣👍🏼"
1543,Вот это пацы придумали 😅😅 используют кальянчик как телефон 📞📱 а шланг то какой длинный 😳😳 прям как в по*рно с тентаклями 🐙🐙 да и еще посмотрите на мундштучеллу 🧐🧐 парень то явно ровный и пики выбрал 😂😂
1544,"Краля стоит такая😏😎👌🏻👌🏻подумывает о сладком дымном кальямбусе💭💭💭с холодком, да у моря💦💧🌊 
 
Вы только посмотрите как эта чупчесса😍😍 на заветную кальяндулюшку🌫🌫 душу положила🙂🙂. Как на дымного бога какого-то😇😇😇, ёк-уголёк. Сразу видно: почитатель древнекумарской мифологии🌓🌓🌓🌓🌓.

Не грех 👌🤣 каликом с таким поделиться! Вывалил из окна 🤐прям как из штанин 😲😳. Ну, веселого вечер очка 🌬😋"
1545,Вот она русская смекалочка🇦🇲🇦🇲тока русские додумались до такого👌🤣ну пацанам удачно покумарить🌬😋главное чтоб мамка не спалила😡👩
1546,Вот это стальные яйца🥚🥚 у пацалянчика🤣🤣держит календулу с золотым double apple🍎🍏😋 забивоном😎 все поставил на карту ради братана👌👉😆🙃❤
1547,"Даааа...🧿🧿🧿 до чего че дошёл кальгресс... 🧬🧬🧬...
Пацанчики кумарят сладко 💨💨💨 не слушают краль👵🏻👵🏻👵🏻. Молодцы 🏋🏼🏋🏼, парняги 👍👍😏 так пыхтеть. А карлей 🗿🗿🗿даже рядом не ставить 👎👎👎 их дело-оформить сладкий кумар 🧎‍♀️🧎‍♀️🧎‍♀️и забить дабл эпл✌️✌️🍏🍎 по кайфарику ради сочного кумара 👼🏻🍇👼🏻. Всем сладкого накура, пацы 💨👍💨"
1548,"Тааак, ну посмотрим кто мне там в аське написал😁
Ой этот худой😾
Этот толстый👎🏼
Этот лысый🧑🏼‍🦲
Мама мия, а это что за красавчик с купюрами💵?) Ну полноват, ну плешь есть и что?? Зато сердце большое😁❤️

Краля во всей красе🤣 Ей главное чтоб мужик обеспечивал поставку дымного золота) Без кальяна жизни нет😈"
1549,"На аватарке просто Дед-Пыхто 😎😎😎
Краля сразу поняла, кто сможет ей дымного АЛЬФАкера забить, да на двойном 🍑🥝🍑🥝🍑🥝
Всем хороших Краль, которые ценят вас не за количество дыма 💨💨💨 Не за долгость курения 🍃🍃🍃 А за умение плотно забить и улететь в космос с трёх пропыхов 🐅🐅🐅"
1550,Совсем очумела крэля😨😅 нельзя же так☝️🤯👿 выбирать пацанчиков🤒🤒может он худой или толстый🤷‍♀️🐹🐼 от недостатка дымоглобина😿🤐обмен дымных веществ нарушается так сказать 😳😱😢 и люди заболевают всем известным кальяновирусом🔞🚱🚳 так что кралюха сиди и не пи*зди😜😋😇 дай пацанчикам прийти в себя и насладится кальбастером😃😃🤙
1551,"Оййй голддигерша нашлась 🥇🔍 извините золото-копательница 😅😅 злые п*ендосы 🏴‍☠️🏴‍☠️ вселились в душу мою дымную 💨💨 так отошел от темы 🦶🦶 мда крали сейчас такие 😭😭 кого хочешь доведут 🤬🤬 до парного коленя 🥺🥺 из-за своих природных недостатков (родился без ног) 🤽🏽‍♂️🤽🏽‍♂️ не могу найти себе кралю 👵🏿👵🏿 но я нашел однажды что-то лучше... 🆒🆒 это сообщество «Калик)», где все такие же, родившееся с дефектами, люди - нашли себе друзей по дымному 💨💨 ремеслу.
От чистого сердца : люблю вас, ДЫМТЯТА 😻😻💙💛🤍💙❤️"
1552,"😾😲Не ну лучше пыхать 💨💨 в одиночестве, 😤чем с этой меркантильной 💵 💸 кралей 👿😓😥 это так дымный философ😤😎📄 Кондымций говорил☝"
1553,"Дорогие пользователи всемирной сети Интернет! Я считаю, что крайне неэтично с вашей стороны выставлять ни в чем неповинных краль в таком плохом свете! Спасибо за понимание, братья!"
1554,"-дорогая, я жду обед уже час) где моя жрачка😅
-милый, в мультиварке сейчас ролтон доварится и покушаем😊🌯
-какой ролтон😱 я хочу мяса или супа🤬
-милый, если бы ты все деньги не тратил на табачок для своего кальянчика💰у нас было бы и мясо и суп🙈😁
-ладно, припорошу ролтон свежей забивкой, нормулек будет) и наемся и покайфую🤙🏼😃

Мужик явно не из простых) Гурман, епт🤣"
1555,"Кальяндуполо то несерьезный 👎😅 мужичок то простак, этакий кальянный баловень 🤓"
1556,Я просто бля потухаю с ваших постов
1557,это же разработки ученых👨‍🔬 из Пыхолково - надувной калюмбас🌬🌬🌬 Сейчас мужичок разгочегарит угольки🔥🔥 забьет себе в чашу свеженького табачка🍃🍂🍃нальет в колбу водицы из родника💧💦 и на выдуве😤😤😤 организует себе калик🤪🤪 небывалых размеров📈📈 Русские мужики🇳🇱🇳🇱 в обиду себя не дадут еп*т🤕🤕
1558,"Это 😡👿👊 какой-то турист, а не гурман 💨 💭😤китайский ширпотреб🇨🇳👑🆘купил за 500 ₽. Лучше бы взял ровный😛😇калик нашего💪☝🇷🇺производства, и курил бы как 😬реальный кальямбус😝😤Да кто сейчас 😁фольгу то использует?😂😅🤣??? Где каллауд нормальный то?🤩😎😤короче 🤓незачёт мужику🥵🤬👎🏿"
1559,"Хоба-хоба, чита-дрита😂🤟🏼
Дискотека до утра 💃🕺🏼
Что такое? Что случилось?🤨
Просто пятница пришла😎🤣

Корпоративчик пошел как надо😊👍🏼 Ребят, всем дымной пятницы🤙🏼😅"
1560,Вот это тусовка 😎 ну прям соревнования по дымному танго 😂🤣 хорошо каралик💃👯‍♂️ зажигает 🔥 поберегите свои уголечки ♨️♨️пацаны 👦дама с характером 🤪😁🤞
1561,всем плотной💪забивки👊и дымного 💨💭покура в этот горячий🔥 как угольки⬛⬛⬛⬛ на кальджубасе 🎷 пятничный вечер😃😎😎👍
1562,"Начинающие кумарщики👶👶(пых-пых🌪) и старейшие дымные мудрецы 🧖🏻‍♂️🧖🏻‍♂️ поделитесь 😇😇хорошими☝🏻👀 советами с группой молодых young ✅ начинающих калямбосовых 🔫💨💨 ценителей о том какие забивочки ✨🔥🍏🍏 хороши какие чаши 🎁 лучше ☃️брать и какой ❓крепкости 🏯табачок ☁️нужен для плавной покурочки 💨💨от новичков 👶👶
Не скупитесь на 🌪🌪 дымные советы 📜📜📜для начинающих🧖🏻‍♂️кумарщиков мы серьезно 😳"
1563,Ну не знаю как по мне дымок дымком а у девули сисяндупулы ниче такие😳😳😳😳😏😉🤤 Ставим респекты малышке за то что не стесняется показать эмоции в диком танце яблоневых древ😵😱😨😳😂😂😂😻✌👍
1564,"Спасибо🙏 братуха😬за тёплые 🔥🔥 слова🤓📑Покуралесим с девчулями😏🤨😈😈 вечерком. Под плотную забивочку 🍎🍏 туса пройдёт на ура 😁😤💨 
Всем ✌️"
1565,"-Пашняяяяя👻
-мать моя женщина😱 ты ещё кто такая??😨
-я кальянная фея Дымь-Дымь, я слежу за порядком в кальянной🧝🏼‍♀️🧚🏻
-класс) 
-Пашня🤬 если ты ещё раз не скинешь сотку за кальянчик, то я тебя в г*овно превращу☝🏼😾
-опааа, попадос😅 ну все базарю больше так не буду делать, х*ули🤙🏼😈

Ну паца угодил конечно в передрягу🤣 Надеюсь впредь не будет кудесничать)"
1566,Похоже кто-то в ролевые игры переиграл 🤣🤣 но не пацан 👶🏿👶🏿 посмотрите на него😅😅 он такую фею 🧚‍♂️🧚🏿‍♀️ только от самого сильного кумарчика поймает 🍎🍏 ☝🏻☝🏻 а фее то сколько самой 7️⃣5️⃣? Если она фея 🧚🏿‍♀️ то не дымная 😨😱а максимум ночная 🌚🌚🤫🤫а вообще видно что пацанчик соточку за кальянчик берет часто 😅😅 он этот дымный синдикат епт 😂😂
1567,"Чувствуешь запах? Это 🍏🍎 с 🌱, сынок. Больше ничто в мире не пахнет так(((
Я люблю запах калика поутру. Однажды мы кумарили🌫 один калик, двенадцать часов подряд🤙👄😻И когда всё закончилось, я посмотрела на своего кумаробоя💏. Там уже никого не было, даже ни одного уголька. Но запах! Вся наша студия на окраине Сызрани была ими пропитана🧡💛💚 Это был запах… славного кумарчика🌬💨!
Когда-нибудь эта забивка закончится😭"
1568,Как говорил Саша Дымный😎: Мы с первого кумара вместе🤑🤑и за всё что мы дымим💭🍏-расплачиваемся тоже вместе😎😎🤙🤙
1569,"Блин 😒 такой попадос с этой феей🎀😪хотел кальянщику 💨 оставить соточку 💵 и тут она объвилась😝
Ну а че, пришлось скинуть👿👿 мб раскумарит калик нормально😤😤 после такой дани 🙏"
1570,"Автор😃, это плохой знак☝☝
Древние племена кумаров🤡 верили, что кральная фея👰 приходит из 
дымного💭💭 мира в наш, чтобы оповестить🍏🍎 о предстоящей войне🔪😈"
1571,"Набор настоящего кумарного киллера💨😎
Такой агрегат ушатает любого - Минздрав в шоке🤣🙈 С такой дрыны даже бегемота свалить как нефиг🤜🏽🦛 
Главное забить покрепче и вуаля🤙🏼😈

Нормальная приблуда так-то) достойна агента ноль-ноль-дым🤵🏽😅 Хотели бы покумардосить с неё?)"
1572,"Как-то раз я был СШД (Соединенные Штаты Дымерики) 🤘🤘🤘
Так вот там дружаня мой, Яшка Лазаревский точно с такого же мочил гейперов🤢🤢🤢
Я еще у него спросил:""Яшка, тебе не жалко агрегат свой так напрягать ради них???
Так тот отмочил такое, что только он мог🤣🤣🤣🤣
-""поделом им, гейперам этим""
В общем, после его паровой миссии спокойно сели и раскурили дудку мира с красножопыми🤘👹🤘"
1573,"Набор настоящего морского пыхотинца💨💨🔫Сразу видно, что не будет разводить дымагогию🤐🤐🤫, а с ходу пустит в дело свой аппарат😱😱🤙🏾"
1574,"Хозяин этого набора🤡😈 антон кальянович колбов🤙🤙🤙 любит подудеть🌽🌽💨 в путешествии😜😃 ну а что , как говорится ☝️☝️ дым в сладость - кэликс в радость😍😇😙"
1575,"-ну че дорогая перестало там чесаться?)
-ооооо даааа, кааайф😁🙈
-а я тебе говорил нужно холодненькое пиво приложить и междуножный зуд пройдёт😌👍🏼
-да уж😅 где ты только узнал про это🥰
-в детстве бабка повитуха рассказала) советовала ещё кумарить забивочку из степных двойных яблочек - полезно🍎🤙🏼
-зачётная бабка была😂

С таким женихом не страшно и под танк лезть🤣"
1576,"Вот ребятки молодцы💪🏻💪🏻💨💨с забугорным коронавирусом🚫🤒 борются отечетвенным даблэплом🍏🍎
Плотная забивочка любую заразу отгонит☝🏻"
1577,"Эх зря эта краля себе коронавирус🤮👑в междуножье 🥟отправила 
От такого даже кальянотерапия не спасает😔😔😔, дымоглобин падает🤒🤧🤒 и можно отправиться на кальянбище💀"
1578,Бля зачем это рекомендовать
1579,"Хаха, пиво с каликом - живая классика😎😎😎так от любой заразы можно излечиться 🚑🚨мой дед так от простатита вылечился 😄🤟🏻"
1580,"Да когда уже этот водитель маршрутки поедет😫 Сказал же что через 10 минут, а уже прошло полчаса😡👎🏾 Я так в универмаг за грушами для салата никогда не успею🥙😨 Ладно, пока покурямбаю кальянчик, надеюсь успокоюсь🤙🏼😅

Бывают в жизни огорчения, х*ули тут поделать🤣💨 Какой салат из груш, повариха х*ерова😂"
1581,Ну тут уж каждому свое ☝🏻☝🏻я например люблю стоять в маршрутках  🚌 💙💛 я так свою любовь встретил 🧑🏿‍🎤🧑🏿‍🎤 дымную принцессу 👑 💨 ❌🆒ехали в маршрутке под номером один ☝🏻2️⃣-1️⃣= едим и молчим 🤫🤫 она колечки дует 🪐🪐 а я ее целую 😚😚👄👄а дальше как в лучших фильмах🔞🔞🔞
1582,"Говорят😉😉😉Хороший водила маршрутки🚐🚐🚐🚐может сразу несколько дел совершать🏃‍♂🏃‍♂🏃‍♂Забивать двойное яблоко🍏🍎греть угольки🌅🌅🌅и раскумаривать калямбалу 💨💨💨💨А этот еще и крале калик забить умудрился🤷‍♀🌬🌬🌬
Сразу видно наш богатырь👊🏻👊🏻👊🏻Кальянный. Как говорится - и тачку водит🏄‍♀🏄‍♀🏄‍♀И краль заводит ❤❤❤калик забивает 🌪🌪🌪Про кентов не забывает 👨‍🎨👨‍✈👨‍💼👨‍⚖"
1583,"а почему груши🙂☺, где яблочки🍎🍎, чем забивать то будем?🤣
как сказал велики Омар Кальян☠: ""мне с двойным яблочком🍎🍎"""
1584,Иш ты какая😤😈 кралямба 🤒🤒💇‍♀️ хочет как говорится 😜🤡 и рыбку съесть и на мундштучок присесть ☝️😃😘🤙 ну ничего краляха 😻😻🦟 не уедет без тебя водитель пыхтовоза анзор дарксайдович💂‍♀️🐺👀👹  ты пока покуралекай каляндулу 🤝🍌⛄️ а водитель то своё дело знает🧐🤓😠 главное салон не прожги 💀💀👻 а то потом придётся 🍆🍆мундштук  анзорика раскуривать🥵🥵😑😮
1585,"Оууу, маай...✊✊✊✊ Какая бахиня, какие помпушечки 😖😖😖.

Эта мурлыка спустилась к нам с кумаровых😏😏😏😏небес💨💨💨💨💨

Ну с такой мадамой🤔не грех закумарить 🙏🙏🙏🙏 божественный кальяничик на 7 небе 🤯🤯🤯🤯🤯"
1586,"-Толик не отпускай меня😫
-прости меня кальян, но тебя заказали - я должен тебя отпустить😢🙈
-Толик, я прошу тебя🥺🙏
-кальянчик ты же знаешь как я тебя люблю🥰но я должен порадовать посетителей свежим забивосом😭💨
-хорошо, тогда скажи моей семье что я любил их😖

Что-то из разряда фэнтези😅 Сумерки нервно курят в сторонке😃👍🏼"
